,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,High Temperature,Wind Speed
0,Kapaa,40,US,1576547964,65,22.08,-159.32,84.2,20.8
1,Rikitea,100,PF,1576547964,84,-23.12,-134.97,74.28,20.89
2,Andros Town,75,BS,1576547710,88,24.7,-77.77,77.0,10.29
3,Vaini,90,TO,1576547965,74,-21.2,-175.2,82.4,10.29
4,Kaoma,0,ZM,1576547965,87,-14.78,24.8,63.81,2.91
5,Ushuaia,75,AR,1576547965,56,-54.8,-68.3,44.6,3.15
6,Paamiut,100,GL,1576547965,43,61.99,-49.67,39.49,16.64
7,Keetmanshoop,9,NA,1576547965,12,-26.58,18.13,80.6,10.29
8,Jamestown,90,US,1576547900,86,42.1,-79.24,30.99,5.82
9,Punta Arenas,90,CL,1576547966,87,-53.15,-70.92,46.4,5.82
10,Palana,98,RU,1576547966,88,59.12,159.97,9.59,3.44
11,Bluff,100,NZ,1576547966,71,-46.6,168.33,55.99,8.01
12,Tuktoyaktuk,5,CA,1576547966,74,69.45,-133.04,-23.8,7.54
13,Berlevag,100,NO,1576547967,94,70.86,29.09,36.63,15.17
14,Aklavik,5,CA,1576547967,67,68.22,-135.01,-22.0,4.7
15,Mezen,100,RU,1576547967,94,65.85,44.24,27.68,9.53
16,Butaritari,100,KI,1576547967,95,3.07,172.79,78.12,16.73
17,Cabo San Lucas,40,MX,1576547777,78,22.89,-109.91,73.99,10.29
18,Severo-Kurilsk,87,RU,1576547968,87,50.68,156.12,24.04,17.83
19,Galveston,90,US,1576547968,66,29.3,-94.8,54.0,14.99
20,Smithers,90,CA,1576547968,92,54.78,-127.17,23.0,3.78
21,Komarovo,90,RU,1576547968,86,60.18,29.82,37.4,6.71
22,Raychikhinsk,65,RU,1576547969,90,49.78,129.41,-5.71,10.83
23,Camana,100,PE,1576547969,80,-16.62,-72.71,60.01,2.89
24,Port Elizabeth,0,ZA,1576547969,87,-33.92,25.57,60.8,11.41
25,Huescar,100,ES,1576547970,92,37.81,-2.54,46.0,1.61
26,Pevek,100,RU,1576547970,99,69.7,170.31,-8.9,2.35
27,Chuy,18,UY,1576547970,88,-33.7,-53.46,61.05,3.24
28,Dauphin,75,CA,1576547970,84,51.15,-100.05,5.0,10.29
29,Bilibino,100,RU,1576547970,99,68.05,166.44,-14.76,2.24
30,Port Alfred,0,ZA,1576547971,81,-33.59,26.89,59.74,18.45
31,Bredasdorp,1,ZA,1576547971,87,-34.53,20.04,62.01,4.7
32,Tezu,48,IN,1576547971,80,27.92,96.17,62.62,2.64
33,Sao Joao da Barra,78,BR,1576547971,88,-21.64,-41.05,76.03,19.3
34,Busselton,12,AU,1576547971,20,-33.65,115.33,91.99,8.9
35,Hobart,20,AU,1576547861,43,-42.88,147.33,75.99,16.11
36,Tura,0,IN,1576547899,61,25.52,90.22,68.81,3.56
37,Panjab,12,AF,1576547973,73,34.39,67.02,2.91,4.03
38,Kropotkin,100,RU,1576547973,69,45.44,40.58,39.07,6.51
39,Upernavik,100,GL,1576547973,53,72.79,-56.15,9.75,7.7
40,Yulara,71,AU,1576547973,7,-25.24,130.99,102.2,12.75
41,Cairns,35,AU,1576547816,62,-16.92,145.77,91.0,8.05
42,Ulladulla,0,AU,1576547973,28,-35.35,150.47,77.0,5.82
43,Thompson,90,CA,1576547974,75,55.74,-97.86,-16.6,6.93
44,Hermanus,0,ZA,1576547974,81,-34.42,19.23,62.01,10.0
45,Puerto Ayora,69,EC,1576547974,90,-0.74,-90.35,72.0,4.0
46,Sao Gabriel da Cachoeira,99,BR,1576547974,92,-0.13,-67.09,73.83,0.25
47,Shelburne,20,CA,1576547974,85,44.08,-80.2,30.0,2.46
48,Ponta Delgada,75,PT,1576547974,72,37.73,-25.67,64.4,29.97
49,Lebu,11,CL,1576547974,73,-37.62,-73.65,52.84,8.46
50,Hilo,90,US,1576547975,83,19.73,-155.09,75.2,8.05
51,Saint-Pierre,1,RE,1576547813,69,-21.34,55.48,78.8,4.7
52,Provideniya,75,RU,1576547975,93,64.38,-173.3,32.0,13.42
53,Cape Town,10,ZA,1576547709,93,-33.93,18.42,62.01,3.36
54,General Pico,0,AR,1576547975,16,-35.66,-63.76,67.1,8.55
55,Los Llanos de Aridane,40,ES,1576547976,63,28.66,-17.92,63.0,4.7
56,Enid,90,US,1576547976,86,36.4,-97.88,28.99,11.41
57,Albany,1,US,1576547976,85,42.65,-73.76,26.01,2.13
58,Nome,1,US,1576547903,73,64.5,-165.41,23.0,3.06
59,Talnakh,75,RU,1576547977,83,69.49,88.4,-5.8,17.9
60,Avarua,83,CK,1576547977,69,-21.21,-159.78,78.8,18.34
61,Saldanha,67,ZA,1576547977,72,-33.01,17.94,59.0,4.7
62,Port Hardy,90,CA,1576547977,93,50.7,-127.42,41.0,21.92
63,Rudnogorsk,100,RU,1576547978,95,57.26,103.75,2.98,4.43
64,Pontes e Lacerda,75,BR,1576547862,83,-15.23,-59.34,74.71,2.93
65,Flinders,14,AU,1576547978,28,-34.58,150.86,81.0,5.82
66,Barrow,1,US,1576547702,85,71.29,-156.79,10.4,13.87
67,Evensk,0,RU,1576547978,73,61.95,159.23,-18.13,11.1
68,Mount Gambier,98,AU,1576547979,28,-37.83,140.77,86.0,4.7
69,Ust-Nera,100,RU,1576547979,100,64.57,143.2,-40.5,1.72
70,Inhambane,60,MZ,1576547979,75,-23.86,35.38,72.28,14.03
71,Kudahuvadhoo,24,MV,1576547979,76,2.67,72.89,82.13,14.76
72,Prainha,46,BR,1576547979,89,-1.8,-53.48,75.79,3.18
73,Bure,0,ET,1576547979,81,10.7,37.07,58.87,2.46
74,Namibe,24,AO,1576547980,85,-15.2,12.15,76.08,11.81
75,Amursk,100,RU,1576547980,94,50.23,136.9,16.14,3.74
76,Egvekinot,71,RU,1576547980,92,66.32,-179.17,5.27,10.54
77,Kieta,2,PG,1576547980,70,-6.22,155.63,84.22,5.21
78,Zhengjiatun,0,CN,1576547981,68,43.51,123.51,19.6,15.43
79,Carnarvon,68,AU,1576547981,69,-24.87,113.63,80.6,11.41
80,Galich,98,RU,1576547981,98,58.38,42.35,30.79,3.31
81,Saint-Philippe,0,RE,1576547981,69,-21.36,55.77,78.8,4.7
82,Georgetown,40,GY,1576547981,83,6.8,-58.16,80.6,9.17
83,Aksu,13,CN,1576547982,60,41.12,80.26,25.02,2.93
84,Yellowknife,40,CA,1576547983,74,62.46,-114.35,-27.0,6.93
85,Aberdeen,31,GB,1576547983,74,57.14,-2.1,36.0,8.05
86,Tiksi,92,RU,1576547984,89,71.69,128.87,-23.76,6.13
87,Ndele,17,CF,1576547984,17,8.41,20.65,74.39,9.64
88,Norman Wells,20,CA,1576547984,65,65.28,-126.83,-38.2,2.24
89,Abalak,100,RU,1576547985,92,58.13,68.59,14.2,5.86
90,Trinidad,38,CU,1576547985,88,21.8,-79.98,73.4,8.05
91,Kloulklubed,75,PW,1576547985,70,7.04,134.26,86.0,13.87
92,Pitimbu,20,BR,1576547985,94,-7.47,-34.81,75.2,2.24
93,Qaanaaq,0,GL,1576547985,49,77.48,-69.36,-5.51,6.98
94,Kirakira,99,SB,1576547985,80,-10.45,161.92,82.06,8.84
95,Lakota,51,CI,1576547986,97,5.85,-5.69,71.82,2.24
96,Torbay,90,CA,1576547986,73,47.67,-52.73,28.0,21.92
97,Omboue,100,GA,1576547986,94,-1.57,9.26,74.68,1.07
98,Ponta do Sol,40,PT,1576547986,55,32.67,-17.1,60.8,9.17
99,Lewisporte,90,CA,1576547987,79,49.25,-55.05,24.01,17.22
100,Iqaluit,90,CA,1576547987,79,63.75,-68.51,23.0,11.41
101,Goure,20,NE,1576547987,24,13.98,10.27,66.99,11.01
102,Arraial do Cabo,0,BR,1576547887,89,-22.97,-42.03,75.02,25.72
103,Nemuro,75,JP,1576547987,86,43.32,145.57,33.8,3.36
104,Mahibadhoo,10,MV,1576547987,78,3.78,72.97,81.97,14.03
105,Beringovskiy,98,RU,1576547988,91,63.05,179.32,13.73,18.61
106,Poso,10,ID,1576547988,74,-1.4,120.75,76.55,2.89
107,Zeya,0,RU,1576547988,80,53.75,127.27,-4.72,7.47
108,Villamontes,100,BO,1576547988,79,-21.25,-63.5,66.61,3.18
109,Boa Vista,75,BR,1576547954,66,2.82,-60.67,84.2,6.93
110,Pisco,75,PE,1576547988,82,-13.7,-76.22,68.0,8.05
111,Castro,100,BR,1576547988,99,-24.79,-50.01,61.88,0.94
112,Katsuura,75,JP,1576547989,93,35.13,140.3,50.0,9.17
113,Manacapuru,40,BR,1576547709,88,-3.3,-60.62,78.8,3.36
114,Atuona,0,PF,1576547989,71,-9.8,-139.03,80.44,13.38
115,Kodiak,90,US,1576547799,86,57.79,-152.41,41.0,5.82
116,Russell,1,US,1576547989,92,38.9,-98.86,26.6,6.93
117,Ribeira Grande,100,PT,1576547989,86,38.52,-28.7,60.35,27.29
118,Bethel,90,US,1576547989,55,41.37,-73.41,37.0,6.93
119,Klaksvik,70,FO,1576547990,84,62.23,-6.59,33.8,17.76
120,Muros,40,ES,1576547990,100,42.78,-9.06,45.0,1.12
121,Coihaique,20,CL,1576547990,62,-45.58,-72.07,53.6,3.36
122,Tuatapere,100,NZ,1576547990,71,-46.13,167.68,55.99,8.01
123,Cabra,40,ES,1576547990,87,37.47,-4.44,53.6,5.82
124,Xingtai,100,CN,1576547927,38,37.06,114.49,44.69,9.19
125,Atar,99,MR,1576547991,38,20.52,-13.05,60.28,10.36
126,Isabela,100,PH,1576547991,77,10.2,122.99,79.23,12.66
127,Haines Junction,100,CA,1576547991,98,60.75,-137.51,12.49,5.77
128,Amahai,73,ID,1576547991,71,-3.33,128.92,83.01,1.34
129,Mayo,90,US,1576547993,95,38.89,-76.51,37.99,5.82
130,Gigmoto,28,PH,1576547993,80,13.78,124.39,82.38,15.41
131,Deputatskiy,92,RU,1576547993,97,69.3,139.9,-21.86,2.48
132,Bambanglipuro,66,ID,1576547993,75,-7.95,110.28,82.18,6.08
133,Cherskiy,100,RU,1576547993,98,68.75,161.3,-14.12,4.68
134,Dubuque,75,US,1576547993,85,42.5,-90.66,27.0,3.36
135,Pilot Butte,20,CA,1576547994,85,50.47,-104.42,17.01,11.41
136,Bonnyville,90,CA,1576547985,72,54.27,-110.74,10.4,2.24
137,Mar del Plata,40,AR,1576547994,72,-38.0,-57.56,64.0,4.7
138,Clyde River,90,CA,1576547994,84,70.47,-68.59,6.8,5.82
139,Dikson,85,RU,1576547994,96,73.51,80.55,-0.06,1.74
140,New Norfolk,20,AU,1576547723,43,-42.78,147.06,75.99,16.11
141,Kruisfontein,1,ZA,1576547995,80,-34.0,24.73,56.53,8.25
142,Gizo,100,SB,1576547995,84,-8.1,156.84,80.1,11.56
143,Conakry,100,GN,1576547829,72,9.54,-13.68,79.18,5.55
144,Longyearbyen,20,SJ,1576547996,55,78.22,15.64,8.6,14.99
145,Kisangani,100,CD,1576547996,98,0.52,25.2,68.11,0.85
146,Chokurdakh,98,RU,1576547996,98,70.63,147.92,-17.28,2.3
147,Haflong,1,IN,1576547996,61,25.18,93.03,70.29,1.63
148,Isangel,75,VU,1576547996,94,-19.55,169.27,80.6,6.93
149,Jiblah,0,YE,1576547997,69,13.92,44.15,58.03,1.07
150,Severobaykalsk,100,RU,1576547997,68,55.65,109.32,7.02,6.44
151,Falakata,0,IN,1576547997,56,26.52,89.21,65.88,1.9
152,Cayenne,90,GF,1576547997,94,4.93,-52.33,78.8,3.36
153,Simcoe,90,CA,1576547924,86,42.83,-80.3,30.99,4.7
154,Kosh-Agach,64,RU,1576547997,96,50.0,88.67,-11.97,2.21
155,Richards Bay,11,ZA,1576547718,77,-28.78,32.04,66.96,10.07
156,Saint-Augustin,100,CA,1576547997,74,51.23,-58.65,24.64,33.89
157,La Romana,20,DO,1576547801,94,18.43,-68.97,80.6,9.17
158,La Ronge,5,CA,1576547998,75,55.1,-105.28,-14.8,4.7
159,Bengkulu,100,ID,1576547713,67,-3.8,102.27,82.33,1.63
160,Swellendam,35,ZA,1576547998,87,-34.02,20.44,55.4,4.7
161,Ermoupolis,24,GR,1576547823,87,37.44,24.94,57.2,5.82
162,Macomer,100,IT,1576547998,76,40.26,8.77,55.99,5.82
163,Talara,13,PE,1576547999,86,-4.58,-81.27,69.17,15.66
164,Hithadhoo,71,MV,1576547999,75,-0.6,73.08,81.86,9.71
165,Mahebourg,20,MU,1576547999,88,-20.41,57.7,77.0,3.36
166,Khatanga,88,RU,1576547999,98,71.97,102.5,-19.52,5.3
167,Saint Anthony,1,US,1576547999,79,45.02,-93.22,21.2,6.93
168,Sept-Iles,40,CA,1576547866,51,50.2,-66.38,12.99,16.11
169,Manta,90,EC,1576547774,83,-0.95,-80.73,75.2,11.41
170,Kaeo,100,NZ,1576548000,100,-35.1,173.78,66.0,10.8
171,Chulym,100,RU,1576548000,95,55.1,80.96,6.19,9.48
172,Cidreira,100,BR,1576548001,79,-30.18,-50.21,70.84,10.67
173,Sarrebourg,100,FR,1576548001,93,48.73,7.05,53.6,2.24
174,San Cristobal,20,VE,1576547934,96,7.77,-72.22,52.57,2.86
175,Fernie,90,CA,1576548006,73,49.5,-115.07,28.0,11.41
176,Kijang,75,KR,1576547866,71,35.24,129.21,50.0,3.36
177,Port Augusta,68,AU,1576548008,12,-32.5,137.77,102.99,10.29
178,Sitka,90,US,1576548010,81,57.05,-135.33,42.8,4.7
179,Kasempa,14,ZM,1576548011,93,-13.46,25.83,61.79,3.38
180,Souillac,20,MU,1576548013,88,-20.52,57.52,77.0,3.36
181,Vardo,100,NO,1576548014,96,70.37,31.11,37.06,18.72
182,Santa Isabel,100,BR,1576548016,88,-23.32,-46.22,75.2,2.24
183,Honiara,75,SB,1576547763,79,-9.43,159.95,86.0,3.36
184,Geraldton,20,AU,1576547741,58,-28.77,114.6,82.4,5.82
185,Cockburn Town,4,TC,1576548020,78,21.46,-71.14,80.13,25.21
186,Biltine,0,TD,1576548021,28,14.53,20.92,64.13,15.68
187,Mabini,40,PH,1576548023,74,15.6,120.98,80.6,9.17
188,Ilulissat,95,GL,1576548024,38,69.22,-51.1,24.8,26.4
189,Bataipora,100,BR,1576548024,97,-22.3,-53.27,70.36,7.31
190,Barhi,0,IN,1576548024,68,23.9,80.8,57.58,2.59
191,Sorland,100,NO,1576548024,80,67.67,12.69,38.3,8.68
192,Grindavik,0,IS,1576548024,74,63.84,-22.43,32.0,19.46
193,Nanchital,5,MX,1576548025,66,18.07,-94.4,86.0,11.41
194,Victoria,75,CA,1576547738,81,48.43,-123.37,46.99,3.36
195,Brae,26,GB,1576548026,100,60.4,-1.35,28.4,5.26
196,East London,0,ZA,1576548027,76,-33.02,27.91,64.06,20.4
197,Deer Lake,90,CA,1576548028,85,49.17,-57.43,23.0,19.46
198,Murindo,100,CO,1576548028,96,6.98,-76.75,70.99,1.77
199,College,1,US,1576548028,83,64.86,-147.8,14.0,4.45
200,Coquimbo,0,CL,1576548028,87,-29.95,-71.34,57.2,6.93
201,Morondava,66,MG,1576548029,68,-20.28,44.28,76.95,3.06
202,Tautira,75,PF,1576548029,70,-17.73,-149.15,84.2,16.11
203,Evinayong,96,GQ,1576548029,99,1.44,10.55,67.91,0.78
204,Laguna,1,US,1576548029,70,38.42,-121.42,48.99,3.4
205,Lyubim,100,RU,1576548029,98,58.36,40.68,32.54,3.38
206,Lompoc,1,US,1576547898,40,34.64,-120.46,57.2,3.36
207,Devonport,15,AU,1576548030,54,-41.17,146.35,77.0,7.0
208,Manaure,80,CO,1576548030,80,11.78,-72.44,80.91,23.09
209,Port Hedland,0,AU,1576548030,14,-20.32,118.57,102.2,9.17
210,Neryungri,85,RU,1576548030,96,56.67,124.65,-17.46,3.98
211,Cap Malheureux,20,MU,1576548031,88,-19.98,57.61,77.0,3.36
212,Vila Velha,20,BR,1576548025,83,-20.33,-40.29,82.99,6.93
213,Natal,20,BR,1576548031,74,-5.79,-35.21,78.8,10.29
214,Linxia,100,CN,1576548031,83,35.6,103.21,18.34,4.47
215,Brownfield,90,US,1576548033,59,33.18,-102.27,35.6,13.87
216,Ixtapa,40,MX,1576548033,69,20.7,-105.2,78.8,6.93
217,Kahului,40,US,1576547883,69,20.89,-156.47,80.6,14.99
218,Roebourne,0,AU,1576548033,8,-20.78,117.13,103.37,9.95
219,Kailua,75,US,1576548033,78,21.4,-157.74,82.0,12.75
220,Chiplun,30,IN,1576548034,58,17.53,73.52,75.06,2.8
221,Shahrud,100,IR,1576548034,71,36.42,54.98,38.48,5.44
222,Whitehorse,40,CA,1576547799,84,60.72,-135.05,10.99,14.99
223,Mizdah,33,LY,1576548034,77,31.45,12.98,48.43,7.78
224,Qianguo,73,CN,1576548035,81,45.12,124.86,16.84,13.44
225,Sciacca,20,IT,1576548035,87,37.51,13.09,60.8,25.28
226,Tasiilaq,38,GL,1576548036,50,65.61,-37.64,30.2,16.11
227,Fortuna,1,US,1576548036,87,40.6,-124.16,46.99,9.17
228,Tecoanapa,0,MX,1576548036,86,16.52,-98.75,73.81,2.08
229,Christchurch,100,NZ,1576548036,77,-43.53,172.63,59.0,21.92
230,Eureka,1,US,1576548036,87,40.8,-124.16,46.99,9.17
231,Casablanca,100,MA,1576547768,100,33.59,-7.62,48.2,19.46
232,Mount Isa,0,AU,1576548037,23,-20.73,139.5,104.0,10.29
233,Salalah,20,OM,1576548037,69,17.02,54.09,73.4,4.7
234,Flin Flon,46,CA,1576548037,92,54.77,-101.86,-18.18,7.2
235,Bonfim,61,BR,1576548039,75,3.08,-59.95,77.83,6.22
236,Koslan,100,RU,1576548039,96,63.46,48.9,20.34,5.68
237,Yerbogachen,79,RU,1576548039,97,61.28,108.01,-28.21,3.6
238,Dubbo,0,AU,1576548039,25,-32.25,148.62,86.0,11.41
239,Batticaloa,100,LK,1576548039,83,7.71,81.69,79.75,6.58
240,Lithakia,20,GR,1576548039,87,37.72,20.83,50.0,5.14
241,Chokwe,13,MZ,1576548039,88,-24.53,32.98,64.42,2.75
242,Ugoofaaru,60,MV,1576548040,75,5.67,73.0,82.8,17.56
243,Rapid Valley,1,US,1576548040,49,44.06,-103.15,26.6,11.41
244,Honningsvag,100,NO,1576548040,76,70.98,25.97,35.98,9.28
245,Gamba,100,GA,1576548040,89,-2.65,10.0,76.35,3.02
246,Lakhipur,0,IN,1576548040,66,26.03,90.3,66.29,3.02
247,Yatou,91,CN,1576548041,61,37.15,122.38,44.01,23.58
248,Sangar,100,RU,1576548041,98,63.92,127.47,-21.8,1.23
249,Arica,69,CL,1576548041,64,-18.48,-70.3,69.8,1.12
250,Sola,14,VU,1576548042,76,-13.88,167.55,82.54,8.1
251,Meulaboh,56,ID,1576548042,75,4.14,96.13,80.35,4.32
252,Hambantota,40,LK,1576548042,100,6.12,81.12,75.2,3.36
253,Dedza,100,MW,1576548042,91,-14.38,34.33,62.1,3.24
254,Ust-Omchug,95,RU,1576547791,96,61.15,149.63,-28.79,4.63
255,Hofn,64,IS,1576548043,63,64.25,-15.21,36.41,29.89
256,Panorama,75,GR,1576548043,93,40.59,23.03,53.6,3.36
257,Lubango,99,AO,1576547919,97,-14.92,13.49,59.07,1.95
258,Oksbol,100,DK,1576548044,93,55.63,8.29,44.01,5.82
259,Bismarck,90,US,1576548007,73,46.81,-100.78,26.6,11.41
260,Praia,75,CV,1576548044,68,14.92,-23.51,71.6,20.8
261,Calatagan,41,PH,1576548044,70,13.88,120.65,83.88,12.84
262,Viedma,0,AR,1576548044,69,-40.81,-63.0,53.85,7.0
263,Belaya Gora,98,RU,1576548044,99,68.53,146.42,-27.42,2.44
264,Ostrovnoy,100,RU,1576548045,91,68.05,39.51,25.27,11.21
